Product Name,Brand,Category,SKU,Quantity,Unit,Unit Price,GST %
Anti-Rust Paint,Finolex,Paint,HW-060,179,LTR,3437.79,18
Fevicol SH Adhesive,Asian Paints,Adhesives & Sealants,,196,KG,1755.98,28
Silicone Sealant Clear,Tata Steel,Adhesives & Sealants,,102,PCS,1552.39,5
Epoxy Adhesive,Crompton,Adhesives & Sealants,HW-063,91,KG,1746.95,12
Araldite Standard,Havells,Adhesives & Sealants,,101,PCS,881.47,18
PVC Pipe Solvent Cement,Finolex,Adhesives & Sealants,,53,KG,1356.83,28
M-Seal Epoxy Putty,Hettich,Adhesives & Sealants,HW-066,80,PCS,42.07,5
Fevi Kwik Instant Adhesive,Taparia,Adhesives & Sealants,,6,KG,2269.44,12
Tile Adhesive,Pidilite,Adhesives & Sealants,,131,PCS,2685.64,18
Foam Sealant Spray,UltraTech,Adhesives & Sealants,HW-069,154,KG,2182.2,28
Rubber Gasket Adhesive,Hindware,Adhesives & Sealants,,126,PCS,1674.74,5
Wash Basin White,Hettich,Sanitary Ware,,97,SET,2306.55,12
Health Faucet,Taparia,Sanitary Ware,HW-072,133,PCS,903.53,18
Shower Head,Pidilite,Sanitary Ware,,54,SET,2371.74,28
Toilet Seat Cover,UltraTech,Sanitary Ware,,137,PCS,286.77,5
Kitchen Sink Single Bowl,Hindware,Sanitary Ware,HW-075,20,SET,995.8,12
Basin Mixer Tap,Asian Paints,Sanitary Ware,,59,PCS,1822.16,18
Overhead Shower Arm,Tata Steel,Sanitary Ware,,106,SET,2016.72,28
Urinal Flush Valve,Crompton,Sanitary Ware,HW-078,117,PCS,3456.85,5
Soap Dispenser,Havells,Sanitary Ware,,197,SET,2505.12,12
Towel Rod,Finolex,Sanitary Ware,,144,PCS,1433.05,18
"Door Hinge 4""",Asian Paints,Hinges & Fittings,HW-081,84,BOX,3157.99,28
Cabinet Hinge Soft Close,Tata Steel,Hinges & Fittings,,181,DOZEN,1170.3,5
"Drawer Channel 18""",Crompton,Hinges & Fittings,,69,PCS,2082.91,12
Furniture Handle,Havells,Hinges & Fittings,HW-084,120,BOX,2803.98,18
Door Stopper,Finolex,Hinges & Fittings,,161,DOZEN,2789.94,28
Sliding Door Roller,Hettich,Hinges & Fittings,,160,PCS,817.28,5
"Tower Bolt 6""",Taparia,Hinges & Fittings,HW-087,49,BOX,3507.99,12
Piano Hinge 6ft,Pidilite,Hinges & Fittings,,200,DOZEN,2027.75,18
Cabinet Lock Catch,UltraTech,Hinges & Fittings,,117,PCS,3336.5,28
Curtain Bracket,Hindware,Hinges & Fittings,HW-090,191,BOX,2846.1,5
Mortise Lock Set,Hettich,Locks & Security,,163,SET,1644.65,12
Padlock 50mm,Taparia,Locks & Security,,96,PCS,2094.94,18
Door Latch,Pidilite,Locks & Security,HW-093,121,SET,2178.18,28
Digital Door Lock,UltraTech,Locks & Security,,126,PCS,849.38,5
Cupboard Lock,Hindware,Locks & Security,,51,SET,3373.61,12
Hasp & Staple,Asian Paints,Locks & Security,HW-096,193,PCS,2335.64,18
Chain Lock,Tata Steel,Locks & Security,,135,SET,2137.07,28
Night Latch,Crompton,Locks & Security,,123,PCS,2594.38,5
Drawer Lock,Havells,Locks & Security,HW-099,149,SET,3149.97,12
Gate Latch,Finolex,Locks & Security,,180,PCS,1825.17,18
